,P90-100,P95-100,P99-100,P99.5-100,P99.9-100,P99.99-100,P90-95,P95-99,P99-99.5,P99.5-99.9,P99.9-99.99
1966,33.67,22.92,10.18,7.22,3.39,1.29,10.75,12.74,2.96,3.83,2.10
1967,34.44,23.70,10.74,7.67,3.68,1.42,10.74,12.96,3.06,4.00,2.26
1968,34.85,24.15,11.21,8.14,4.02,1.61,10.70,12.94,3.07,4.12,2.41
1969,33.93,23.08,10.35,7.45,3.69,1.56,10.85,12.73,2.91,3.75,2.14
1970,32.63,21.66,9.03,6.25,2.78,1.00,10.96,12.64,2.77,3.48,1.78
1971,33.34,22.26,9.40,6.56,2.99,1.11,11.08,12.86,2.84,3.58,1.87
1972,33.59,22.52,9.64,6.78,3.13,1.18,11.07,12.88,2.86,3.65,1.95
1973,33.33,22.21,9.16,6.30,2.76,0.94,11.12,13.05,2.86,3.54,1.82
1974,33.31,22.12,9.12,6.31,2.73,0.88,11.19,13.00,2.82,3.58,1.85
1975,33.43,21.98,8.87,6.07,2.56,0.85,11.45,13.11,2.80,3.50,1.72
1976,33.41,21.97,8.86,6.07,2.59,0.86,11.44,13.11,2.79,3.47,1.73
1977,33.58,22.12,9.03,6.22,2.71,0.92,11.46,13.10,2.81,3.51,1.78
1978,33.49,22.04,8.95,6.16,2.65,0.86,11.45,13.09,2.79,3.51,1.79
1979,34.21,22.93,9.96,7.11,3.44,1.37,11.28,12.97,2.85,3.67,2.07
1980,34.63,23.17,10.02,7.15,3.41,1.28,11.47,13.15,2.87,3.74,2.13
1981,34.54,23.04,10.02,7.23,3.57,1.37,11.51,13.02,2.78,3.67,2.20
1982,35.33,23.83,10.80,7.97,4.18,1.73,11.50,13.04,2.83,3.79,2.44
1983,36.38,24.85,11.56,8.63,4.62,1.88,11.53,13.30,2.92,4.01,2.74
1984,36.74,25.29,11.99,9.04,4.98,2.15,11.45,13.30,2.95,4.06,2.83
1985,37.56,26.12,12.67,9.63,5.32,2.24,11.44,13.45,3.04,4.31,3.08
1986,40.63,29.49,15.92,12.62,7.40,3.34,11.14,13.57,3.30,5.22,4.05
1987,38.25,26.54,12.66,9.45,4.90,1.91,11.71,13.88,3.21,4.55,2.99
1988,40.63,29.29,15.49,12.09,6.80,2.86,11.34,13.80,3.40,5.29,3.94
1989,40.08,28.55,14.49,11.08,6.00,2.45,11.54,14.06,3.41,5.08,3.54
1990,39.98,28.41,14.33,10.94,5.82,2.33,11.57,14.08,3.39,5.12,3.49
1991,39.55,27.72,13.36,9.99,5.12,1.96,11.82,14.36,3.38,4.86,3.17
1992,40.82,29.06,14.67,11.20,6.03,2.46,11.76,14.39,3.47,5.17,3.57
1993,40.68,28.83,14.24,10.78,5.73,2.32,11.85,14.60,3.46,5.05,3.41
1994,40.78,28.89,14.23,10.73,5.70,2.29,11.89,14.66,3.50,5.03,3.41
1995,42.11,30.22,15.23,11.57,6.21,2.46,11.89,14.99,3.66,5.36,3.74
1996,43.48,31.76,16.69,12.91,7.24,3.06,11.73,15.07,3.78,5.67,4.18
1997,44.64,33.14,18.02,14.16,8.19,3.53,11.50,15.13,3.86,5.97,4.66
1998,45.39,34.10,19.09,15.18,9.00,3.92,11.30,15.01,3.91,6.18,5.07
1999,46.47,35.22,20.04,16.04,9.62,4.21,11.25,15.17,4.01,6.41,5.41
2000,47.61,36.61,21.52,17.46,10.88,5.07,11.00,15.09,4.07,6.58,5.80
2001,44.82,33.35,18.22,14.32,8.37,3.70,11.47,15.13,3.90,5.96,4.67
2002,43.82,32.07,16.87,13.04,7.34,3.14,11.75,15.20,3.83,5.70,4.20
2003,44.53,32.77,17.53,13.67,7.87,3.49,11.76,15.24,3.86,5.80,4.38
2004,46.40,34.95,19.75,15.74,9.47,4.34,11.45,15.20,4.01,6.28,5.12
2005,48.33,37.16,21.92,17.77,10.98,5.13,11.18,15.24,4.15,6.79,5.86
2006,49.32,38.08,22.82,18.62,11.59,5.46,11.24,15.26,4.21,7.03,6.13
2007,49.74,38.67,23.50,19.31,12.28,6.04,11.07,15.17,4.19,7.04,6.24
2008,48.23,36.52,20.95,16.87,10.40,5.03,11.71,15.57,4.08,6.47,5.37
